Beer_Name,Beer_ID,ABV,IBU,Brewery_id,Style,Ounces,Brewery,City,State,Ale,Category
Big Blue Van,2061,0.058,14.2,233,Fruit / Vegetable Beer,16,College Street Brewhouse and Pub,Lake Havasu City,AZ,Other,Other
Des Moines IPA,970,0.068,75,483,American IPA,16,Confluence Brewing Company,Des Moines,IA,IPA,IPA
Capital Gold Golden Lager,969,0.048,22,483,German Pilsener,16,Confluence Brewing Company,Des Moines,IA,Other,Pilsner
Farmer John's Multi-Grain Ale,968,0.056,21,483,American Blonde Ale,16,Confluence Brewing Company,Des Moines,IA,Ale,Ale
Behemoth,2351,0.05,23.133333333333333,140,American Pilsner,12,Core Brewing & Distilling Company,Springdale,AR,Other,Pilsner
Arkansas Red,1650,0.052,35.69135802469136,140,American Amber / Red Ale,12,Core Brewing & Distilling Company,Springdale,AR,Ale,Ale
Core Oatmeal Stout,1337,0.057,28.09090909090909,140,Oatmeal Stout,12,Core Brewing & Distilling Company,Springdale,AR,Other,Stout
Core ESB,1336,0.061,44.266666666666666,140,Extra Special / Strong Bitter (ESB),12,Core Brewing & Distilling Company,Springdale,AR,Other,Other
Chester's Beer (2005),737,0.038,26.75,513,American Pale Lager,12,Cottrell Brewing,Pawcatuck,CT,Other,Lager
Heiner Brau Kölsch,129,0.05,21.77777777777778,554,Kölsch,12,Covington Brewhouse,Covington,LA,Other,Other
Trigger Blonde Ale,716,0.048,21.126984126984127,516,American Blonde Ale,16,Crabtree Brewing Company,Greeley,CO,Ale,Ale
Crabtree Oatmeal Stout,659,0.075,29,516,Oatmeal Stout,16,Crabtree Brewing Company,Greeley,CO,Other,Stout
Eclipse Black IPA,556,0.077,71,516,American Black Ale,16,Crabtree Brewing Company,Greeley,CO,Ale,Ale
Neomexicanus Native,2538,0.06,46,64,American Pale Ale (APA),12,Crazy Mountain Brewing Company,Edwards,CO,Ale,Ale
Old Soul,2355,0.075,25,64,Belgian Strong Pale Ale,12,Crazy Mountain Brewing Company,Edwards,CO,Ale,Ale
Snowcat Coffee Stout,1689,0.059,41.23529411764706,64,American Stout,12,Crazy Mountain Brewing Company,Edwards,CO,Other,Stout
WinterWonderGrass Festival Ale,1163,0.0499,15,64,American Amber / Red Ale,12,Crazy Mountain Brewing Company,Edwards,CO,Ale,Ale
Boohai Red Ale,940,0.06,35.69135802469136,64,American Amber / Red Ale,12,Crazy Mountain Brewing Company,Edwards,CO,Ale,Ale
Lava Lake Wit,685,0.052,15,64,Witbier,12,Crazy Mountain Brewing Company,Edwards,CO,Other,Other
Mountain Livin' Pale Ale,613,0.06,44.619354838709675,64,American Pale Ale (APA),12,Crazy Mountain Brewing Company,Edwards,CO,Ale,Ale
Crazy Mountain Amber Ale,356,0.052,25,64,American Amber / Red Ale,12,Crazy Mountain Brewing Company,Edwards,CO,Ale,Ale
Tropicalia,2029,0.065,65,248,American IPA,12,Creature Comforts,Athens,GA,IPA,IPA
Athena,2028,0.045,7.8,248,Berliner Weissbier,12,Creature Comforts,Athens,GA,Other,Other
Aviator Raspberry Blonde,2293,0.049,25,170,American Blonde Ale,12,Crooked Fence Brewing Company,Garden City,ID,Ale,Ale
3 Picket Porter,1105,0.055,31.625,170,American Porter,12,Crooked Fence Brewing Company,Garden City,ID,Other,Porter
Rusty Nail Pale Ale,1104,0.056,44.619354838709675,170,American Pale Ale (APA),12,Crooked Fence Brewing Company,Garden City,ID,Ale,Ale
Red Water Irish Style Red,2145,0.065,35.69135802469136,213,American Amber / Red Ale,12,Crow Peak Brewing Company,Spearfish,SD,Ale,Ale
Mjöllnir,1804,0.066,22.2,213,Herbed / Spiced Beer,12,Crow Peak Brewing Company,Spearfish,SD,Other,Other
Bear Butte Nut Brown Ale,1602,0.055,29.76923076923077,213,American Brown Ale,12,Crow Peak Brewing Company,Spearfish,SD,Ale,Ale
Easy Livin' Summer Ale,1301,0.045,21.126984126984127,213,American Blonde Ale,12,Crow Peak Brewing Company,Spearfish,SD,Ale,Ale
Canyon Cream Ale,542,0.055,20.333333333333332,213,Cream Ale,12,Crow Peak Brewing Company,Spearfish,SD,Ale,Ale
Pile O'Dirt Porter,272,0.069,31.625,213,American Porter,12,Crow Peak Brewing Company,Spearfish,SD,Other,Porter
11th Hour IPA,271,0.06,67.57516339869281,213,American IPA,12,Crow Peak Brewing Company,Spearfish,SD,IPA,IPA
South Ridge Amber Ale,1057,0.06,31,473,American Amber / Red Ale,16,Crystal Springs Brewing Company,Boulder,CO,Ale,Ale
Summertime Ale,681,0.052,23,473,Kölsch,16,Crystal Springs Brewing Company,Boulder,CO,Other,Other
Lost River Blonde Ale,1789,0.049,21.126984126984127,316,American Blonde Ale,16,Cutters Brewing Company,Avon,IN,Ale,Ale
Monon Wheat,1788,0.054,16.208333333333332,316,Witbier,16,Cutters Brewing Company,Avon,IN,Other,Other
Floyd's Folly,1787,0.08,26.90909090909091,316,Scottish Ale,16,Cutters Brewing Company,Avon,IN,Ale,Ale
Half Court IPA,1786,0.063,67.57516339869281,316,American IPA,16,Cutters Brewing Company,Avon,IN,IPA,IPA
Geary's Pale Ale,1763,0.045,31.4,324,English Pale Ale,12,D.L. Geary Brewing Company,Portland,ME,Ale,Ale
Geary's Summer Ale,1311,0.06,21.77777777777778,324,Kölsch,12,D.L. Geary Brewing Company,Portland,ME,Other,Other
Stone of Arbroath,2078,0.08,24.23076923076923,228,Scotch Ale / Wee Heavy,12,DC Brau Brewing Company,Washington,DC,Ale,Ale
The Tradition,1809,0.05,15,228,American Blonde Ale,12,DC Brau Brewing Company,Washington,DC,Ale,Ale
El Hefe Speaks,1263,0.053,11,228,Hefeweizen,12,DC Brau Brewing Company,Washington,DC,Other,Other
Penn Quarter Porter,1092,0.055,31.625,228,American Porter,12,DC Brau Brewing Company,Washington,DC,Other,Porter
On the Wings of Armageddon,851,0.092,115,228,American Double / Imperial IPA,12,DC Brau Brewing Company,Washington,DC,IPA,IPA
The Corruption,186,0.065,80,228,American IPA,12,DC Brau Brewing Company,Washington,DC,IPA,IPA
The Citizen,185,0.07,23.875,228,Belgian Pale Ale,12,DC Brau Brewing Company,Washington,DC,Ale,Ale
The Public,184,0.06,44.619354838709675,228,American Pale Ale (APA),12,DC Brau Brewing Company,Washington,DC,Ale,Ale
Dank IPA,1224,0.065,67.57516339869281,452,American IPA,16,Dad & Dude's Breweria,Aurora,CO,IPA,IPA
Dank IPA (2012),964,0.065,67.57516339869281,452,American IPA,16,Dad & Dude's Breweria,Aurora,CO,IPA,IPA
Lift Off IPA,1623,0.072,67.57516339869281,359,American IPA,16,Daredevil Brewing Company,Shelbyville,IN,IPA,IPA
BrewFarm Select Golden Lager,110,0.055,26.75,555,American Pale Lager,12,Dave's Brewfarm,Wilson,WI,Other,Lager
Sprocket Blonde Ale (2006),1735,0.05,21.126984126984127,334,American Blonde Ale,12,David's Ale Works,Diamond Springs,CA,Ale,Ale
Sprocket Pale Ale (2006),1734,0.05,44.619354838709675,334,American Pale Ale (APA),12,David's Ale Works,Diamond Springs,CA,Ale,Ale
Dead Armadillo Amber Ale,1746,0.063,37,331,American Amber / Red Ale,12,Dead Armadillo Craft Brewing,Tulsa,OK,Ale,Ale
Neato Bandito,2371,0.06,22,128,Euro Pale Lager,12,Deep Ellum Brewing Company,Dallas,TX,Other,Lager
Oak Cliff Coffee Ale,2251,0.075,33,128,American Brown Ale,12,Deep Ellum Brewing Company,Dallas,TX,Ale,Ale
Dream Crusher Double IPA,2166,0.085,100,128,American Double / Imperial IPA,12,Deep Ellum Brewing Company,Dallas,TX,IPA,IPA
Deep Ellum Pale Ale,1827,0.06,44.619354838709675,128,American Pale Ale (APA),12,Deep Ellum Brewing Company,Dallas,TX,Ale,Ale
Double Brown Stout,1203,0.07,54,128,Baltic Porter,12,Deep Ellum Brewing Company,Dallas,TX,Other,Porter
Farmhouse Wit,1202,0.048,25,128,Saison / Farmhouse Ale,16,Deep Ellum Brewing Company,Dallas,TX,Ale,Ale
Rye Pils Session Lager,1161,0.046,34.1764705882353,128,German Pilsener,12,Deep Ellum Brewing Company,Dallas,TX,Other,Pilsner
Dallas Blonde,946,0.052,23,128,American Blonde Ale,12,Deep Ellum Brewing Company,Dallas,TX,Ale,Ale
Deep Ellum IPA,943,0.07,70,128,American IPA,12,Deep Ellum Brewing Company,Dallas,TX,IPA,IPA
Thrasher Session India Pale Ale,1886,0.045,44,284,American IPA,12,Defiance Brewing Company,Hays,KS,IPA,IPA
Gutch English Style Mild Ale,1885,0.05,16,284,English Pale Mild Ale,12,Defiance Brewing Company,Hays,KS,Ale,Ale
Chuli Stout,1213,0.059,55,454,Irish Dry Stout,12,Denali Brewing Company,Talkeetna,AK,Other,Stout
Mother Ale,1159,0.056,46,454,American Blonde Ale,12,Denali Brewing Company,Talkeetna,AK,Ale,Ale
Twister Creek India Pale Ale,947,0.065,71,454,American IPA,12,Denali Brewing Company,Talkeetna,AK,IPA,IPA
Single Engine Red,929,0.058,46,454,Irish Red Ale,12,Denali Brewing Company,Talkeetna,AK,Ale,Ale
Incredible Pedal IPA,1944,0.07,67.57516339869281,264,American IPA,12,Denver Beer Company,Denver,CO,IPA,IPA
Graham Cracker Porter,1943,0.05,31.625,264,American Porter,12,Denver Beer Company,Denver,CO,Other,Porter
Mirror Pond Pale Ale,1210,0.05,40,455,American Pale Ale (APA),12,Deschutes Brewery,Bend,OR,Ale,Ale
Weissenheimer,2550,0.052,16,58,Hefeweizen,12,Destihl Brewery,Bloomington,IL,Other,Other
Abbey's Single (2015- ),2505,0.049,22,58,Abbey Single Ale,12,Destihl Brewery,Bloomington,IL,Ale,Ale
Vertex IPA,2025,0.063,76,58,American IPA,12,Destihl Brewery,Bloomington,IL,IPA,IPA
Here Gose Nothin',2021,0.05,12,58,Gose,12,Destihl Brewery,Bloomington,IL,Other,Other
Strawberry Blonde,2015,0.05,14.2,58,Fruit / Vegetable Beer,12,Destihl Brewery,Bloomington,IL,Other,Other
Hoperation Overload,1888,0.096,85,58,American Double / Imperial IPA,12,Destihl Brewery,Bloomington,IL,IPA,IPA
Abbey's Single Ale (Current),1887,0.049,22,58,Abbey Single Ale,12,Destihl Brewery,Bloomington,IL,Ale,Ale
Bravo Four Point,2051,0.044,45,238,American Pale Ale (APA),12,Devil's Backbone Brewing Company,Lexington,VA,Ale,Ale
Striped Bass Pale Ale,1201,0.052,26,238,American Pale Ale (APA),12,Devil's Backbone Brewing Company,Lexington,VA,Ale,Ale
Deadicated Amber,924,0.054,27,492,American Amber / Red Ale,16,Devil's Canyon Brewery,Belmont,CA,Ale,Ale
Kaleidoscope Collaboration 2012,731,0.055,68.9,492,American Black Ale,16,Devil's Canyon Brewery,Belmont,CA,Ale,Ale
California Sunshine Rye IPA,730,0.071,85,492,American IPA,16,Devil's Canyon Brewery,Belmont,CA,IPA,IPA
Full Boar Scotch Ale,647,0.074,12,492,Scotch Ale / Wee Heavy,16,Devil's Canyon Brewery,Belmont,CA,Ale,Ale
12 Man Pale Ale,1773,0.045,44.619354838709675,320,American Pale Ale (APA),12,Dick's Brewing Company,Centralia,WA,Ale,Ale
Filthy Hoppin' IPA,1795,0.065,72,312,American IPA,16,Dirty Bucket Brewing Company,Woodinville,WA,IPA,IPA
Dock Street Amber Beer (1992),944,0.046,35.69135802469136,489,American Amber / Red Ale,12,Dock Street Brewery,Philadelphia,PA,Ale,Ale
Dolores River ESB,450,0.058,24,532,Extra Special / Strong Bitter (ESB),16,Dolores River Brewery,Dolores,CO,Other,Other
Snaggletooth Double Pale Ale,449,0.062,40,532,American Double / Imperial IPA,16,Dolores River Brewery,Dolores,CO,IPA,IPA
Dolores River Pale Ale,448,0.058,44.619354838709675,532,American Pale Ale (APA),16,Dolores River Brewery,Dolores,CO,Ale,Ale
Dolores River Dry Stout,447,0.049,20,532,Irish Dry Stout,16,Dolores River Brewery,Dolores,CO,Other,Stout
Dolores River Mild,446,0.05,22,532,English Dark Mild Ale,16,Dolores River Brewery,Dolores,CO,Ale,Ale
Hop Abomination,881,0.066,100,497,American IPA,12,Dry Dock Brewing Company,Aurora,CO,IPA,IPA
Apricot Blonde,880,0.051,17,497,Fruit / Vegetable Beer,12,Dry Dock Brewing Company,Aurora,CO,Other,Other
Dry Dock Hefeweizen,872,0.043,12,497,Hefeweizen,12,Dry Dock Brewing Company,Aurora,CO,Other,Other
Dry Dock Amber Ale,871,0.058,49,497,American Amber / Red Ale,12,Dry Dock Brewing Company,Aurora,CO,Ale,Ale
Category 3 IPA,1685,0.061,64,341,American IPA,12,Due South Brewing Company,Boynton Beach,FL,IPA,IPA
Dundee Summer Wheat Beer,457,0.045,18,539,American Pale Wheat Ale,12,Dundee Brewing Company,Rochester,NY,Ale,Ale
Pumpkin Patch Ale,1590,0.05,24.818181818181817,370,Pumpkin Ale,16,Eddyline Brewery & Restaurant,Buena Vista,CO,Ale,Ale
Crank Yanker IPA,1382,0.078,74,370,American IPA,16,Eddyline Brewery & Restaurant,Buena Vista,CO,IPA,IPA
River Runners Pale Ale,1110,0.06,44.619354838709675,370,American Pale Ale (APA),16,Eddyline Brewery & Restaurant,Buena Vista,CO,Ale,Ale
Pumpkin Patch Ale (2012),1014,0.05,24.818181818181817,370,Pumpkin Ale,16,Eddyline Brewery & Restaurant,Buena Vista,CO,Ale,Ale
Mountain Fairy Raspberry Wheat,911,0.055,14.2,370,Fruit / Vegetable Beer,16,Eddyline Brewery & Restaurant,Buena Vista,CO,Other,Other
Boater Beer,680,0.045,34.1764705882353,370,German Pilsener,16,Eddyline Brewery & Restaurant,Buena Vista,CO,Other,Pilsner
Crank Yanker IPA (2011),395,0.078,74,370,American IPA,16,Eddyline Brewery & Restaurant,Buena Vista,CO,IPA,IPA
Bleeding Buckeye Red Ale,1642,0.057,44.266666666666666,353,Extra Special / Strong Bitter (ESB),16,Elevator Brewing Company,Columbus,OH,Other,Other
Dottie Seattle Lager,673,0.049,25,517,American Amber / Red Lager,16,Emerald City Beer Company,Seattle,WA,Other,Lager
Nut Sack Imperial Brown Ale,1107,0.07,29.76923076923077,466,American Brown Ale,12,Engine 15 Brewing,Jacksonville Beach,FL,Ale,Ale
Underachiever,1039,0.05,11,474,American Adjunct Lager,16,Engine House 9,Tacoma,WA,Other,Lager
Lil' Brainless Raspberries,2477,0.052,14.2,82,Fruit / Vegetable Beer,12,Epic Brewing,Denver,CO,Other,Other
Element 29,2008,0.052,44.619354838709675,82,American Pale Ale (APA),12,Epic Brewing,Denver,CO,Ale,Ale
Hop Syndrome,2004,0.05,26.75,82,American Pale Lager,12,Epic Brewing,Denver,CO,Other,Lager
Escape to Colorado,2003,0.062,67.57516339869281,82,American IPA,12,Epic Brewing,Denver,CO,IPA,IPA
Little Sister India Style Session Ale,2292,0.043,60,171,American IPA,12,Everybody's Brewing,White Salmon,WA,IPA,IPA
Country Boy IPA,1504,0.062,80,171,American IPA,12,Everybody's Brewing,White Salmon,WA,IPA,IPA
Blonde Czich,2604,0.049,23,27,American Blonde Ale,16,Evil Czech Brewery,Mishawaka,IN,Ale,Ale
White Reaper,2432,0.07,61,27,Belgian IPA,16,Evil Czech Brewery,Mishawaka,IN,IPA,IPA
Bobblehead,2431,0.051,20.467741935483872,27,American Pale Wheat Ale,16,Evil Czech Brewery,Mishawaka,IN,Ale,Ale
Lucky Dog,2430,0.052,44.619354838709675,27,American Pale Ale (APA),16,Evil Czech Brewery,Mishawaka,IN,Ale,Ale
Voodoo,2429,0.048,31.625,27,American Porter,16,Evil Czech Brewery,Mishawaka,IN,Other,Porter
General George Patton Pilsner,1967,0.054,48,27,Czech Pilsener,16,Evil Czech Brewery,Mishawaka,IN,Other,Pilsner
Nomader Weiss,2283,0.04,7.8,174,Berliner Weissbier,12,Evil Twin Brewing,Brooklyn,NY,Other,Other
Molotov Lite,2248,0.085,92.45454545454545,174,American Double / Imperial IPA,16,Evil Twin Brewing,Brooklyn,NY,IPA,IPA
Hipster Ale (Two Roads Brewing),1287,0.055,44.619354838709675,174,American Pale Ale (APA),12,Evil Twin Brewing,Brooklyn,NY,Ale,Ale
Bikini Beer,1286,0.027,67.57516339869281,174,American IPA,12,Evil Twin Brewing,Brooklyn,NY,IPA,IPA
Hipster Ale (Westbrook Brewing),640,0.055,44.619354838709675,174,American Pale Ale (APA),12,Evil Twin Brewing,Brooklyn,NY,Ale,Ale
Iron Horse Pale Ale,1722,0.05,32,336,American Pale Ale (APA),12,Fargo Brewing Company,Fargo,ND,Ale,Ale
Stone's Throw IPA,1435,0.045,19,336,Scottish Ale,12,Fargo Brewing Company,Fargo,ND,Ale,Ale
Wood Chipper India Pale Ale,1434,0.067,70,336,American IPA,12,Fargo Brewing Company,Fargo,ND,IPA,IPA
Trail Head,2089,0.063,55,225,American Pale Ale (APA),12,Fat Head's Brewery,Middleburg Heights,OH,Ale,Ale
Hop Stalker Fresh Hop IPA,2088,0.07,80,225,American IPA,16,Fat Head's Brewery,Middleburg Heights,OH,IPA,IPA
Sudice American Stout,1455,0.07,58,406,American Stout,16,Fate Brewing Company,Boulder,CO,Other,Stout
Parcae Belgian Style Pale Ale,1454,0.05,20,406,Belgian Pale Ale,16,Fate Brewing Company,Boulder,CO,Ale,Ale
Norns Roggenbier,1453,0.05,20,406,Roggenbier,16,Fate Brewing Company,Boulder,CO,Other,Other
Laimas Kölsch Style Ale,1452,0.05,20,406,Kölsch,16,Fate Brewing Company,Boulder,CO,Other,Other
Moirai India Pale Ale,1451,0.07,70,406,American IPA,16,Fate Brewing Company,Boulder,CO,IPA,IPA
Loki Red Ale,2191,0.075,53,202,American Amber / Red Ale,16,Fearless Brewing Company,Estacada,OR,Ale,Ale
Peaches & Cream,1731,0.046,14.2,202,Fruit / Vegetable Beer,16,Fearless Brewing Company,Estacada,OR,Other,Other
Quaff India Style Session Ale,1022,0.051,67.57516339869281,202,American IPA,16,Fearless Brewing Company,Estacada,OR,IPA,IPA
Loki Red Ale (2013),895,0.075,53,202,American Amber / Red Ale,16,Fearless Brewing Company,Estacada,OR,Ale,Ale
Mjolnir Imperial IPA,682,0.069,92.45454545454545,202,American Double / Imperial IPA,16,Fearless Brewing Company,Estacada,OR,IPA,IPA
Fearless Scottish Ale,112,0.05,26.90909090909091,202,Scottish Ale,16,Fearless Brewing Company,Estacada,OR,Ale,Ale
Mastermind,2289,0.081,92.45454545454545,173,American Double / Imperial IPA,12,Fiddlehead Brewing Company,Shelburne,VT,IPA,IPA
Hyzer Flip,2027,0.082,92.45454545454545,173,American Double / Imperial IPA,16,Fiddlehead Brewing Company,Shelburne,VT,IPA,IPA
Second Fiddle,1929,0.082,80,173,American Double / Imperial IPA,16,Fiddlehead Brewing Company,Shelburne,VT,IPA,IPA
Hodad Porter,1858,0.055,30,173,American Porter,16,Fiddlehead Brewing Company,Shelburne,VT,Other,Porter
Czech Yo Self,2590,0.055,45,37,Czech Pilsener,12,Figueroa Mountain Brewing Company,Buellton,CA,Other,Pilsner
FMB 101,1968,0.048,20,37,Kölsch,12,Figueroa Mountain Brewing Company,Buellton,CA,Other,Other
Hardcore Chimera,1981,0.09,92.45454545454545,257,American Double / Imperial IPA,16,Finch's Beer Company,Chicago,IL,IPA,IPA
Sobek & Set,1664,0.08,80,257,American Black Ale,16,Finch's Beer Company,Chicago,IL,Ale,Ale
Nuclear Winter,1663,0.086,72,257,Belgian Strong Dark Ale,16,Finch's Beer Company,Chicago,IL,Ale,Ale
Wet Hot American Wheat Ale,1662,0.05,22,257,American Pale Wheat Ale,16,Finch's Beer Company,Chicago,IL,Ale,Ale
Secret Stache Stout,941,0.053,41.23529411764706,257,American Stout,16,Finch's Beer Company,Chicago,IL,Other,Stout
Fascist Pig Ale,935,0.08,72,257,American Amber / Red Ale,16,Finch's Beer Company,Chicago,IL,Ale,Ale
Cut Throat Pale Ale,809,0.055,44.619354838709675,257,American Pale Ale (APA),16,Finch's Beer Company,Chicago,IL,Ale,Ale
Threadless IPA,481,0.075,67.57516339869281,257,American IPA,16,Finch's Beer Company,Chicago,IL,IPA,IPA
Cut Throat Pale Ale (2011),351,0.055,44.619354838709675,257,American Pale Ale (APA),16,Finch's Beer Company,Chicago,IL,Ale,Ale
Golden Wing Blonde Ale,350,0.047,21.126984126984127,257,American Blonde Ale,16,Finch's Beer Company,Chicago,IL,Ale,Ale
Easy Jack,2569,0.045,47,49,American IPA,12,Firestone Walker Brewing Company,Paso Robles,CA,IPA,IPA
Union Jack,2463,0.075,75,49,American IPA,12,Firestone Walker Brewing Company,Paso Robles,CA,IPA,IPA
Pivo Pils,2462,0.053,34.1764705882353,49,German Pilsener,12,Firestone Walker Brewing Company,Paso Robles,CA,Other,Pilsner
805 Blonde Ale,1957,0.047,21.126984126984127,49,American Blonde Ale,12,Firestone Walker Brewing Company,Paso Robles,CA,Ale,Ale
805,1733,0.047,20,49,American Blonde Ale,12,Firestone Walker Brewing Company,Paso Robles,CA,Ale,Ale
Deflator,2624,0.065,24.5,17,Doppelbock,16,Flat 12 Bierwerks,Indianapolis,IN,Other,Other
Hinchtown Hammer Down,2284,0.05,27,17,American Blonde Ale,16,Flat 12 Bierwerks,Indianapolis,IN,Ale,Ale
Half Cycle IPA,1610,0.06,104,17,American IPA,16,Flat 12 Bierwerks,Indianapolis,IN,IPA,IPA
Inclined Plane Ale,520,0.042,67.57516339869281,533,American IPA,12,Flat Rock Brewing Company,Smithton,PA,IPA,IPA
Moped Traveler,2554,0.055,44.619354838709675,55,American Pale Ale (APA),16,Flesk Brewing Company,Lombard,IL,Ale,Ale
Snake Dog IPA,608,0.071,60,522,American IPA,12,Flying Dog Brewery,Frederick,MD,IPA,IPA
Underdog Atlantic Lager,607,0.047,28,522,American Pale Lager,12,Flying Dog Brewery,Frederick,MD,Other,Lager
Flying Mouse 8,2567,0.04,31.625,51,American Porter,12,Flying Mouse Brewery,Troutville,VA,Other,Porter
Flying Mouse 4,2566,0.07,70,51,American IPA,12,Flying Mouse Brewery,Troutville,VA,IPA,IPA
La Ferme Urbaine Farmhouse Ale,1899,0.078,28.391304347826086,280,Saison / Farmhouse Ale,12,Foolproof Brewing Company,Pawtucket,RI,Ale,Ale
Backyahd IPA,983,0.06,67.57516339869281,280,American IPA,12,Foolproof Brewing Company,Pawtucket,RI,IPA,IPA
Raincloud Robust Porter,982,0.065,31.625,280,American Porter,12,Foolproof Brewing Company,Pawtucket,RI,Other,Porter
Barstool American Golden Ale,981,0.045,21.126984126984127,280,American Blonde Ale,12,Foolproof Brewing Company,Pawtucket,RI,Ale,Ale
What the Butler Saw,2111,0.05,18,218,Witbier,12,Forgotten Boardwalk,Cherry Hill,NJ,Other,Other
1916 Shore Shiver,2110,0.069,65,218,American IPA,12,Forgotten Boardwalk,Cherry Hill,NJ,IPA,IPA
Quick WIT,2172,0.052,23.875,207,Belgian Pale Ale,12,Fort George Brewery,Astoria,OR,Ale,Ale
The Optimist,2171,0.062,67.57516339869281,207,American IPA,12,Fort George Brewery,Astoria,OR,IPA,IPA
Suicide Squeeze IPA,1911,0.045,67.57516339869281,207,American IPA,16,Fort George Brewery,Astoria,OR,IPA,IPA
Java the Hop,1803,0.065,67.57516339869281,207,American IPA,16,Fort George Brewery,Astoria,OR,IPA,IPA
Next Adventure Black IPA,1566,0.062,68.9,207,American Black Ale,16,Fort George Brewery,Astoria,OR,Ale,Ale
3-Way IPA (2013),1515,0.067,67.57516339869281,207,American IPA,16,Fort George Brewery,Astoria,OR,IPA,IPA
Tender Loving Empire NWPA,1214,0.058,44.619354838709675,207,American Pale Ale (APA),16,Fort George Brewery,Astoria,OR,Ale,Ale
Quick Wit Belgianesque Ale,674,0.052,16.208333333333332,207,Witbier,16,Fort George Brewery,Astoria,OR,Other,Other
Sunrise Oatmeal Pale Ale,562,0.055,44.619354838709675,207,American Pale Ale (APA),16,Fort George Brewery,Astoria,OR,Ale,Ale
Cavatica Stout,552,0.088,62,207,American Double / Imperial Stout,16,Fort George Brewery,Astoria,OR,Other,Stout
1811 Lager,319,0.051,23.25,207,American Amber / Red Lager,16,Fort George Brewery,Astoria,OR,Other,Lager
Vortex IPA,318,0.074,97,207,American IPA,16,Fort George Brewery,Astoria,OR,IPA,IPA
Park,2661,0.047,19,5,American Pale Wheat Ale,12,Fort Point Beer Company,San Francisco,CA,Ale,Ale
Westfalia,2660,0.056,16,5,American Amber / Red Ale,12,Fort Point Beer Company,San Francisco,CA,Ale,Ale
KSA,2659,0.046,17,5,Kölsch,12,Fort Point Beer Company,San Francisco,CA,Other,Other
Villager,2658,0.063,42,5,American IPA,12,Fort Point Beer Company,San Francisco,CA,IPA,IPA
Dirty Bastard,2625,0.085,50,16,Scotch Ale / Wee Heavy,12,Founders Brewing Company,Grand Rapids,MI,Ale,Ale
Centennial IPA,1565,0.072,65,16,American IPA,12,Founders Brewing Company,Grand Rapids,MI,IPA,IPA
All Day IPA,1223,0.047,42,16,American IPA,12,Founders Brewing Company,Grand Rapids,MI,IPA,IPA
El Chingon IPA,1874,0.076,73,288,American IPA,12,Four Corners Brewing Company,Dallas,TX,IPA,IPA
Block Party Robust Porter,1873,0.057,40,288,American Porter,12,Four Corners Brewing Company,Dallas,TX,Other,Porter
Local Buzz,1872,0.052,20,288,American Blonde Ale,12,Four Corners Brewing Company,Dallas,TX,Ale,Ale
Feel Like Maplin' Love,2613,0.055,28.09090909090909,23,Oatmeal Stout,16,Four Fathers Brewing ,Valparaiso,IN,Other,Stout
Father's Beer,2612,0.05,23.875,23,Belgian Pale Ale,16,Four Fathers Brewing ,Valparaiso,IN,Ale,Ale
The 26th,2611,0.06,67.57516339869281,23,American IPA,16,Four Fathers Brewing ,Valparaiso,IN,IPA,IPA
The Gadget,2610,0.064,90,23,American IPA,16,Four Fathers Brewing ,Valparaiso,IN,IPA,IPA
Leprechaun Lager,1657,0.04,26.75,349,American Pale Lager,12,Four Horsemen Brewing Company,South Bend,IN,Other,Lager
Sunbru Kölsch,2309,0.052,17,161,Kölsch,12,Four Peaks Brewing Company,Tempe,AZ,Other,Other
Kilt Lifter Scottish-Style Ale,1635,0.06,21,161,Other,12,Four Peaks Brewing Company,Tempe,AZ,Other,Other
Pumpkin Porter,1616,0.051,31.625,161,American Porter,12,Four Peaks Brewing Company,Tempe,AZ,Other,Porter
Four Peaks Peach Ale,1585,0.042,9,161,Fruit / Vegetable Beer,12,Four Peaks Brewing Company,Tempe,AZ,Other,Other
Hop Knot IPA,358,0.067,47,161,American IPA,12,Four Peaks Brewing Company,Tempe,AZ,IPA,IPA
Kilt Lifter Scottish-Style Ale (2009),179,0.06,21,161,Scottish Ale,12,Four Peaks Brewing Company,Tempe,AZ,Ale,Ale
Sunbru Kölsch,178,0.052,21.77777777777778,161,Kölsch,12,Four Peaks Brewing Company,Tempe,AZ,Other,Other
Four String Vanilla Porter,2428,0.06,31.625,106,American Porter,12,Four String Brewing Company,Columbus,OH,Other,Porter
Suncaster Summer Wheat,2427,0.05,28,106,American Pale Wheat Ale,12,Four String Brewing Company,Columbus,OH,Ale,Ale
Brass Knuckle Pale Ale,2425,0.057,36,106,American Pale Ale (APA),12,Four String Brewing Company,Columbus,OH,Ale,Ale
Big Star White IPA,2424,0.07,70,106,American White IPA,12,Four String Brewing Company,Columbus,OH,IPA,IPA
Old Detroit,1998,0.056,35.69135802469136,254,American Amber / Red Ale,12,Frankenmuth Brewery,Frankenmuth,MI,Ale,Ale
Batch 69 IPA,1556,0.069,69,254,American IPA,12,Frankenmuth Brewery,Frankenmuth,MI,IPA,IPA
Twisted Helles Summer Lager,1208,0.055,18,254,Munich Helles Lager,12,Frankenmuth Brewery,Frankenmuth,MI,Other,Lager
OktoberFiesta,2527,0.053,27,67,Other,12,Freetail Brewing Company,San Antonio,TX,Other,Other
