Beer_Name,Beer_ID,ABV,IBU,Brewery_id,Style,Ounces,Brewery,City,State,Ale,Category
Copperhead Amber,2216,0.052,18,28,Belgian Dark Ale,16,450 North Brewing Company,Columbus,IN,Ale,Ale
Rude Parrot IPA,972,0.059,75,482,American IPA,16,7 Seas Brewing Company,Gig Harbor,WA,IPA,IPA
British Pale Ale (2010),866,0.054,30,482,English Pale Ale,16,7 Seas Brewing Company,Gig Harbor,WA,Ale,Ale
British Pale Ale,48,0.054,30,482,English Pale Ale,16,7 Seas Brewing Company,Gig Harbor,WA,Ale,Ale
Ballz Deep Double IPA,47,0.084,82,482,American Double / Imperial IPA,16,7 Seas Brewing Company,Gig Harbor,WA,IPA,IPA
Wolfman's Berliner,1583,0.038,7.8,374,Berliner Weissbier,12,7venth Sun,Dunedin,FL,Other,Other
Colorado Native,1165,0.055,26,463,American Amber / Red Lager,12,AC Golden Brewing Company,Golden,CO,Other,Lager
Colorado Native (2011),431,0.055,26,463,American Amber / Red Lager,12,AC Golden Brewing Company,Golden,CO,Other,Lager
Jockamo IPA,516,0.065,52,534,American IPA,12,Abita Brewing Company,Abita Springs,LA,IPA,IPA
Purple Haze,515,0.042,13,534,Fruit / Vegetable Beer,12,Abita Brewing Company,Abita Springs,LA,Other,Other
Abita Amber,514,0.045,17,534,American Amber / Red Lager,12,Abita Brewing Company,Abita Springs,LA,Other,Lager
Citra Ass Down,2540,0.082,68,63,American IPA,16,Against The Grain Brewery,Louisville,KY,IPA,IPA
The Brown Note,2539,0.05,20,63,American Brown Ale,16,Against The Grain Brewery,Louisville,KY,Ale,Ale
Citra Ass Down,2686,0.08,68,2,American Double / Imperial IPA,16,Against the Grain Brewery,Louisville,KY,IPA,IPA
London Balling,2685,0.125,80,2,English Barleywine,16,Against the Grain Brewery,Louisville,KY,Other,Other
35 K,2684,0.077,25,2,Milk / Sweet Stout,16,Against the Grain Brewery,Louisville,KY,Other,Stout
A Beer,2683,0.042,42,2,American Pale Ale (APA),16,Against the Grain Brewery,Louisville,KY,Ale,Ale
Rules are Rules,2682,0.05,25,2,German Pilsener,16,Against the Grain Brewery,Louisville,KY,Other,Pilsner
Flesh Gourd'n,2681,0.066,21,2,Pumpkin Ale,16,Against the Grain Brewery,Louisville,KY,Ale,Ale
Sho'nuff,2680,0.04,13,2,Belgian Pale Ale,16,Against the Grain Brewery,Louisville,KY,Ale,Ale
Bloody Show,2679,0.055,17,2,American Pilsner,16,Against the Grain Brewery,Louisville,KY,Other,Pilsner
Rico Sauvin,2678,0.076,68,2,American Double / Imperial IPA,16,Against the Grain Brewery,Louisville,KY,IPA,IPA
Coq de la Marche,2677,0.051,38,2,Saison / Farmhouse Ale,16,Against the Grain Brewery,Louisville,KY,Ale,Ale
Kamen Knuddeln,2676,0.065,27,2,American Wild Ale,16,Against the Grain Brewery,Louisville,KY,Ale,Ale
Pile of Face,2675,0.06,65,2,American IPA,16,Against the Grain Brewery,Louisville,KY,IPA,IPA
The Brown Note,2674,0.05,20,2,English Brown Ale,16,Against the Grain Brewery,Louisville,KY,Ale,Ale
Maylani's Coconut Stout,1594,0.053,35,368,American Stout,16,Airways Brewing Company,Kent,WA,Other,Stout
Oatmeal PSA,1162,0.05,35,368,American Pale Ale (APA),16,Airways Brewing Company,Kent,WA,Ale,Ale
Pre Flight Pilsner,1137,0.052,33,368,American Pilsner,16,Airways Brewing Company,Kent,WA,Other,Pilsner
P-Town Pilsner,2403,0.04,20,118,American Pilsner,12,Alameda Brewing,Portland,OR,Other,Pilsner
Klickitat Pale Ale,2402,0.053,36,118,American Pale Ale (APA),12,Alameda Brewing,Portland,OR,Ale,Ale
Yellow Wolf Imperial IPA,2401,0.082,103,118,American Double / Imperial IPA,12,Alameda Brewing,Portland,OR,IPA,IPA
Freeride APA,1921,0.053,40,271,American Pale Ale (APA),12,Alaskan Brewing Company,Juneau,AK,Ale,Ale
Alaskan Amber,1920,0.053,18,271,Altbier,12,Alaskan Brewing Company,Juneau,AK,Other,Other
Hopalicious,2501,0.057,44.619354838709675,74,American Pale Ale (APA),12,Ale Asylum,Madison,WI,Ale,Ale
Kentucky Kölsch,1535,0.043,21.77777777777778,389,Kölsch,16,Alltech's Lexington Brewing Company,Lexington,KY,Other,Other
Kentucky IPA,1149,0.065,67.57516339869281,389,American IPA,16,Alltech's Lexington Brewing Company,Lexington,KY,IPA,IPA
Dusty Trail Pale Ale,1474,0.054,44.619354838709675,402,American Pale Ale (APA),16,Amnesia Brewing Company,Washougal,WA,Ale,Ale
Damnesia,1473,0.062,67.57516339869281,402,American IPA,16,Amnesia Brewing Company,Washougal,WA,IPA,IPA
Desolation IPA,837,0.062,43,402,American IPA,16,Amnesia Brewing Company,Washougal,WA,IPA,IPA
Liberty Ale,2592,0.059,67.57516339869281,36,American IPA,12,Anchor Brewing Company,San Francisco,CA,IPA,IPA
IPA,2578,0.065,67.57516339869281,36,American IPA,12,Anchor Brewing Company,San Francisco,CA,IPA,IPA
Summer Wheat,2577,0.045,20.467741935483872,36,American Pale Wheat Ale,12,Anchor Brewing Company,San Francisco,CA,Ale,Ale
California Lager,2103,0.049,23.25,36,American Amber / Red Lager,12,Anchor Brewing Company,San Francisco,CA,Other,Lager
Brotherhood Steam,2102,0.056,41,36,California Common / Steam Beer,12,Anchor Brewing Company,San Francisco,CA,Other,Other
Blood Orange Gose,2291,0.042,9.428571428571429,172,Gose,12,Anderson Valley Brewing Company,Boonville,CA,Other,Other
Keebarlin' Pale Ale,1818,0.042,44.619354838709675,172,American Pale Ale (APA),12,Anderson Valley Brewing Company,Boonville,CA,Ale,Ale
"the Kimmie, the Yink and the Holy Gose",1738,0.048,9.428571428571429,172,Gose,12,Anderson Valley Brewing Company,Boonville,CA,Other,Other
Fall Hornin',1563,0.06,24.818181818181817,172,Pumpkin Ale,12,Anderson Valley Brewing Company,Boonville,CA,Ale,Ale
